text|keyphrases
"This output shows that the image with the highest loss is one that has been predicted
as “grizzly” with high confidence. However, it’s labeled (based on our Bing image
search) as “black.” We’re not bear experts, but it sure looks to us like this label is
incorrect! We should probably change its label to “grizzly.”
The intuitive approach to doing data cleaning is to do it <i>before</i> you train a model. But
as you’ve seen in this case, a model can help you find data issues more quickly and
easily. So, we normally prefer to train a quick and simple model first, and then use it
to help us with data cleaning.
ImageClassifierCleaner
fastai includes a handy GUI for data cleaning called that
allows you to choose a category and the training versus validation set and view the
highest-loss images (in order), along with menus to allow images to be selected for
removal or relabeling:
cleaner = ImageClassifierCleaner(learn)
cleaner
We can see that among our “black bears” is an image that contains two bears: one
grizzly, one black. So, we should choose <Delete> in the menu under this image.
ImageClassifierCleaner doesn’t do the deleting or changing of labels for you; it just
returns the indices of items to change. So, for instance, to delete (unlink) all images
selected for deletion, we would run this:
<b>for</b> idx <b>in</b> cleaner.delete(): cleaner.fns[idx].unlink()"|datasets; before versus after training; data cleaning GUI; process end-to-end; ImageClassifierCleaner; incorrect affecting loss; loss; data cleanup before versus after; cleaning GUI
"Does “logarithm” ring a bell? The logarithm function has this identity:
y = b**a
a = log(y,b)
In this case, we’re assuming that log(y,b) returns <i>log</i> <i>y</i> <i>base</i> <i>b.</i> However, PyTorch
doesn’t define log this way: log in Python uses the special number e (2.718…) as the
base.
Perhaps a logarithm is something that you have not thought about for the last 20
years or so. But it’s a mathematical idea that is going to be really critical for many
things in deep learning, so now would be a great time to refresh your memory. The
key thing to know about logarithms is this relationship:
log(a*b) = log(a)+log(b)
When we see it in that format, it looks a bit boring; but think about what this really
means. It means that logarithms increase linearly when the underlying signal increa‐
ses exponentially or multiplicatively. This is used, for instance, in the Richter scale of
earthquake severity and the dB scale of noise levels. It’s also often used on financial
charts, where we want to show compound growth rates more clearly. Computer sci‐
entists love using logarithms, because it means that modification, which can create
really, really large and really, really small numbers, can be replaced by addition, which
is much less likely to result in scales that are difficult for our computers to handle.
<b>SylvainSays</b>
It’s not just computer scientists who love logs! Until computers
came along, engineers and scientists used a special ruler called a
<i>slide</i> <i>rule</i> that did multiplication by adding logarithms. Logarithms
are widely used in physics, for multiplying very big or very small
numbers, and many other fields."|cross-entropy loss; logarithmic scale; slide rules using; pet breeds image classifier
"<b>def</b> average_grad(p, mom, grad_avg=None, **kwargs):
<b>if</b> grad_avg <b>is</b> None: grad_avg = torch.zeros_like(p.grad.data)
<b>return</b> {'grad_avg': grad_avg*mom + p.grad.data}
To use it, we just have to replace p.grad.data with grad_avg in our step function:
<b>def</b> momentum_step(p, lr, grad_avg, **kwargs): p.data.add_(-lr, grad_avg)
opt_func = partial(Optimizer, cbs=[average_grad,momentum_step], mom=0.9)
Learner will automatically schedule mom and lr, so fit_one_cycle will even work
with our custom Optimizer:
learn = get_learner(opt_func=opt_func)
learn.fit_one_cycle(3, 0.03)
<b>epoch</b> <b>train_loss</b> <b>valid_loss</b> <b>accuracy</b> <b>time</b>
0 2.856000 2.493429 0.246115 00:10
1 2.504205 2.463813 0.348280 00:10
2 2.187387 1.755670 0.418853 00:10
learn.recorder.plot_sched()
We’re still not getting great results, so let’s see what else we can do.
<header><largefont><b>RMSProp</b></largefont></header>
RMSProp is another variant of SGD introduced by Geoffrey Hinton in Lecture 6e of
his Coursera class “Neural Networks for Machine Learning”. The main difference
from SGD is that it uses an adaptive learning rate: instead of using the same learning
rate for every parameter, each parameter gets its own specific learning rate controlled
by a global learning rate. That way, we can speed up training by giving a higher learn‐
ing rate to the weights that need to change a lot, while the ones that are good enough
get a lower learning rate."|Hinton; momentum in SGD; neural networks; RMSProp; stochastic gradient descent (SGD); training
"for every number of repetitions of every punctuation mark. Similarly, a capitalized
word will be replaced with a special capitalization token, followed by the lowercase
version of the word. This way, the embedding matrix needs only the lowercase ver‐
sions of the words, saving compute and memory resources, but can still learn the
concept of capitalization.
Here are some of the main special tokens you’ll see:
xxbos
Indicates the beginning of a text (here, a review)
xxmaj
Indicates the next word begins with a capital (since we lowercased everything)
xxunk
Indicates the next word is unknown
To see the rules that were used, you can check the default rules:
defaults.text_proc_rules
[<function fastai.text.core.fix_html(x)>,
<function fastai.text.core.replace_rep(t)>,
<function fastai.text.core.replace_wrep(t)>,
<function fastai.text.core.spec_add_spaces(t)>,
<function fastai.text.core.rm_useless_spaces(t)>,
<function fastai.text.core.replace_all_caps(t)>,
<function fastai.text.core.replace_maj(t)>,
<function fastai.text.core.lowercase(t, add_bos=True, add_eos=False)>]
As always, you can look at the source code for each of them in a notebook by typing
the following:
??replace_rep
Here is a brief summary of what each does:
fix_html
Replaces special HTML characters with a readable version (IMDb reviews have
quite a few of these)
replace_rep
Replaces any character repeated three times or more with a special token for rep‐
etition (xxrep), the number of times it’s repeated, then the character
replace_wrep
Replaces any word repeated three times or more with a special token for word
repetition (xxwrep), the number of times it’s repeated, then the word
spec_add_spaces
Adds spaces around / and #"|fix_html; source code display; natural language processing (NLP); showing rules used; showing source code; replace_rep; replace_wrep; signature of function; source code of function displayed; spec_add_spaces
"learn = fit(5, lr=0.1)
<b>epoch</b> <b>train_loss</b> <b>valid_loss</b> <b>accuracy</b> <b>time</b>
0 0.191731 0.121738 0.960900 00:11
1 0.083739 0.055808 0.981800 00:10
2 0.053161 0.044485 0.987100 00:10
3 0.034433 0.030233 0.990200 00:10
4 0.017646 0.025407 0.991200 00:10
learn = fit(5, lr=0.1)
<b>epoch</b> <b>train_loss</b> <b>valid_loss</b> <b>accuracy</b> <b>time</b>
0 0.183244 0.084025 0.975800 00:13
1 0.080774 0.067060 0.978800 00:12
2 0.050215 0.062595 0.981300 00:12
3 0.030020 0.030315 0.990700 00:12
4 0.015131 0.025148 0.992100 00:12
At this point, I think it’s fair to say we know how to recognize digits! It’s time to move
on to something harder…
<header><largefont><b>Conclusion</b></largefont></header>
We’ve seen that convolutions are just a type of matrix multiplication, with two con‐
straints on the weight matrix: some elements are always zero, and some elements are
tied (forced to always have the same value). In Chapter 1, we saw the eight require‐
ments from the 1986 book <i>Parallel</i> <i>Distributed</i> <i>Processing;</i> one of them was “A pattern
of connectivity among units.” That’s exactly what these constraints do: they enforce a
certain pattern of connectivity.
These constraints allow us to use far fewer parameters in our model, without sacrific‐
ing the ability to represent complex visual features. That means we can train deeper
models faster, with less overfitting. Although the universal approximation theorem
shows that it should be <i>possible</i> to represent anything in a fully connected network in
one hidden layer, we’ve seen now that in <i>practice</i> we can train much better models by
being thoughtful about network architecture.
Convolutions are by far the most common pattern of connectivity we see in neural
nets (along with regular linear layers, which we refer to as <i>fully</i> <i>connected),</i> but it’s
likely that many more will be discovered.
We’ve also seen how to interpret the activations of layers in the network to see
whether training is going well or not, and how batchnorm helps regularize the"|convolutional neural network (CNN); building a CNN; training more stable; training on all digits
"<i>Figure</i> <i>1-15.</i> <i>Converting</i> <i>a</i> <i>time</i> <i>series</i> <i>into</i> <i>an</i> <i>image</i>
Another interesting fast.ai student project example comes from Gleb Esman. He was
working on fraud detection at Splunk, using a dataset of users’ mouse movements
and mouse clicks. He turned these into pictures by drawing an image displaying the
position, speed, and acceleration of the mouse pointer by using colored lines, and the
clicks were displayed using small colored circles, as shown in Figure 1-16. He fed this
into an image recognition model just like the one we’ve used in this chapter, and it
worked so well that it led to a patent for this approach to fraud analytics!
<i>Figure</i> <i>1-16.</i> <i>Converting</i> <i>computer</i> <i>mouse</i> <i>behavior</i> <i>to</i> <i>an</i> <i>image</i>"|non-image tasks; fraud detection; mouse movements for fraud detection; Splunk.com fraud detection; fraud detection at Splunk.com
"hyperparameter tuning. They have also been popular for quite a lot longer than deep
learning, so there is a more mature ecosystem of tooling and documentation around
them.
Most importantly, the critical step of interpreting a model of tabular data is signifi‐
cantly easier for decision tree ensembles. There are tools and methods for answering
the pertinent questions, like these: Which columns in the dataset were the most
important for your predictions? How are they related to the dependent variable? How
do they interact with each other? And which particular features were most important
for some particular observation?
Therefore, ensembles of decision trees are our first approach for analyzing a new tab‐
ular dataset.
The exception to this guideline is when the dataset meets one of these conditions:
• There are some high-cardinality categorical variables that are very important
(“cardinality” refers to the number of discrete levels representing categories, so a
high-cardinality categorical variable is something like a zip code, which can take
on thousands of possible levels).
• There are some columns that contain data that would be best understood with a
neural network, such as plain text data.
In practice, when we deal with datasets that meet these exceptional conditions, we
always try both decision tree ensembles and deep learning to see which works best.
Deep learning will likely be a useful approach in our example of collaborative filter‐
ing, as we have at least two high-cardinality categorical variables: the users and the
movies. But in practice, things tend to be less cut-and-dried, and there will often be a
mixture of high- and low-cardinality categorical variables and continuous variables.
Either way, it’s clear that we are going to need to add decision tree ensembles to our
modeling toolbox!
Up to now, we’ve used PyTorch and fastai for pretty much all of our heavy lifting. But
these libraries are mainly designed for algorithms that do lots of matrix multiplica‐
tion and derivatives (that is, stuff like deep learning!). Decision trees don’t depend on
these operations at all, so PyTorch isn’t much use.
Instead, we will be largely relying on a library called <i>scikit-learn</i> (also known as
<i>sklearn).</i> Scikit-learn is a popular library for creating machine learning models, using
approaches that are not covered by deep learning. In addition, we’ll need to do some
tabular data processing and querying, so we’ll want to use the Pandas library. Finally,
we’ll also need NumPy, since that’s the main numeric programming library that both
sklearn and Pandas rely on."|cardinality; decision tree ensembles and; cardinality and decision tree ensembles; decision trees; scikit-learn library instead; scikit-learn library; sklearn and Pandas rely on; NumPy needed; tabular data processing; plain text data approach; decision trees don’t use; tabular data for models; decision trees as first approach; text data approach
"In our earlier examples with a 3×3 matrix and a vector of size 3, broadcasting was
done on the rows:
Matrix (2d tensor): 3 x 3
Vector (1d tensor): (1) 3
Result (2d tensor): 3 x 3
As an exercise, try to determine what dimensions to add (and where) when you need
to normalize a batch of images of size 64 x 3 x 256 x 256 with vectors of three
elements (one for the mean and one for the standard deviation).
Another useful way of simplifying tensor manipulations is the use of Einstein sum‐
mation convention.
<header><largefont><b>Einstein</b></largefont> <largefont><b>Summation</b></largefont></header>
Before using the PyTorch operation @ or torch.matmul, there is one last way we can
(einsum).
implement matrix multiplication: <i>Einstein</i> <i>summation</i> This is a compact
representation for combining products and sums in a general way. We write an equa‐
tion like this:
ik,kj -> ij
The lefthand side represents the operands dimensions, separated by commas. Here
we have two tensors that each have two dimensions (i,k and k,j). The righthand
side represents the result dimensions, so here we have a tensor with two dimensions
i,j.
The rules of Einstein summation notation are as follows:
1. Repeated indices are implicitly summed over.
2. Each index can appear at most twice in any term.
3. Each term must contain identical nonrepeated indices.
So in our example, since k is repeated, we sum over that index. In the end, the for‐
(i,j)
mula represents the matrix obtained when we put in the sum of all the coeffi‐
cients (i,k) in the first tensor multiplied by the coefficients (k,j) in the second
tensor… which is the matrix product!
Here is how we can code this in PyTorch:
<b>def</b> matmul(a,b): <b>return</b> torch.einsum('ik,kj->ij', a, b)
Einstein summation is a very practical way of expressing operations involving index‐
ing and sum of products. Note that you can have one member on the lefthand side.
For instance,
torch.einsum('ij->ji', a)"|Einstein summation; neural networks; building layer from scratch
"<b>epoch</b> <b>train_loss</b> <b>valid_loss</b> <b>accuracy</b> <b>time</b>
0 3.000821 2.663942 0.438314 00:02
1 2.139642 2.184780 0.240479 00:02
2 1.607275 1.812682 0.439779 00:02
3 1.347711 1.830982 0.497477 00:02
4 1.123113 1.937766 0.594401 00:02
5 0.852042 2.012127 0.631592 00:02
6 0.565494 1.312742 0.725749 00:02
7 0.347445 1.297934 0.711263 00:02
8 0.208191 1.441269 0.731201 00:02
9 0.126335 1.569952 0.737305 00:02
10 0.079761 1.427187 0.754150 00:02
11 0.052990 1.494990 0.745117 00:02
12 0.039008 1.393731 0.757894 00:02
13 0.031502 1.373210 0.758464 00:02
14 0.028068 1.368083 0.758464 00:02
Now that’s better than a multilayer RNN! We can still see there is a bit of overfitting,
however, which is a sign that a bit of regularization might help.
<header><largefont><b>Regularizing</b></largefont> <largefont><b>an</b></largefont> <largefont><b>LSTM</b></largefont></header>
Recurrent neural networks, in general, are hard to train, because of the problem of
vanishing activations and gradients we saw before. Using LSTM (or GRU) cells makes
training easier than with vanilla RNNs, but they are still very prone to overfitting.
Data augmentation, while a possibility, is less often used for text data than for images
because in most cases it requires another model to generate random augmentations
(e.g., by translating the text into another language and then back into the original lan‐
guage). Overall, data augmentation for text data is currently not a well-explored
space.
However, we can use other regularization techniques instead to reduce overfitting,
which were thoroughly studied for use with LSTMs in the paper “Regularizing and
Optimizing LSTM Language Models” by Stephen Merity et al. This paper showed
how effective use of dropout, activation regularization, and temporal activation regu‐
larization could allow an LSTM to beat state-of-the-art results that previously
required much more complicated models. The authors called an LSTM using these
techniques an <i>AWD-LSTM.</i> We’ll look at each of these techniques in turn."|architecture of model; AWD-LSTM architecture; NLP RNNs; building from scratch; text data complications; Keskar; LSTM model; LSTM language model; Merity; natural language processing (NLP); regularizing RNNs against; recurrent neural networks (RNNs); regularizing LSTM language models; Socher; recurrent neural networks
"For the identifier columns, a partial dependence plot showed that when the informa‐
tion was missing, the application was almost always rejected. It turned out that in
practice, the university filled out much of this information only <i>after</i> a grant applica‐
tion was accepted. Often, for applications that were not accepted, it was just left
blank. Therefore, this information was not something that was available at the time
that the application was received, and it would not be available for a predictive model
—it was data leakage.
In the same way, the final processing of successful applications was often done auto‐
matically as a batch at the end of the week, or the end of the year. It was this final
processing date that ended up in the data, so again, this information, while predictive,
was not actually available at the time that the application was received.
This example showcases the most practical and simple approaches to identifying data
leakage, which are to build a model and then do the following:
• Check whether the accuracy of the model is <i>too</i> <i>good</i> <i>to</i> <i>be</i> <i>true.</i>
• Look for important predictors that don’t make sense in practice.
• Look for partial dependence plot results that don’t make sense in practice.
Thinking back to our bear detector, this mirrors the advice that we provided in Chap‐
ter 2—it is often a good idea to build a model first and then do your data cleaning,
rather than vice versa. The model can help you identify potentially problematic data
issues.
It can also help you identify which factors influence specific predictions, with tree
interpreters.
<header><largefont><b>Tree</b></largefont> <largefont><b>Interpreter</b></largefont></header>
At the start of this section, we said that we wanted to be able to answer five questions:
• How confident are we in our predictions using a particular row of data?
• For predicting with a particular row of data, what were the most important fac‐
tors, and how did they influence that prediction?
• Which columns are the strongest predictors?
• Which columns are effectively redundant with each other, for purposes of
prediction?
• How do predictions vary as we vary these columns?"|bagging; decision trees; machine learning (ML); predictions; random forests; tabular data for models; training
