text|keyphrases
"                                                                      
                                                                      
                                                                      
                                                                      
          the next step, it started detecting part of the topmost rose, and then it detected it
          again once it was shifted one more step to the right. You would then continue to slide
          the CNN through the whole image, looking at all 3 × 3 regions. Moreover, since
          objects can have varying sizes, you would also slide the CNN across regions of differ‐
          ent sizes. For example, once you are done with the 3 × 3 regions, you might want to
          slide the CNN across all 4 × 4 regions as well.             
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
          Figure 14-24. Detecting multiple objects by sliding a CNN across the image
                                                                      
          This technique is fairly straightforward, but as you can see it will detect the same
          object multiple times, at slightly different positions. Some post-processing will then
          be needed to get rid of all the unnecessary bounding boxes. A common approach for
          this is called non-max suppression. Here’s how you do it:   
           1. First, you need to add an extra objectness output to your CNN, to estimate the
            probability that a flower is indeed present in the image (alternatively, you could
            add a “no-flower” class, but this usually does not work as well). It must use the
            sigmoid activation function, and you can train it using binary cross-entropy loss.
            Then get rid of all the bounding boxes for which the objectness score is below
            some threshold: this will drop all the bounding boxes that don’t actually contain a
            flower.                                                   
           2. Find the bounding box with the highest objectness score, and get rid of all the
            other bounding boxes that overlap a lot with it (e.g., with an IoU greater than
            60%). For example, in Figure 14-24, the bounding box with the max objectness
            score is the thick bounding box over the topmost rose (the objectness score is
            represented by the thickness of the bounding boxes). The other bounding box
                                                                      
                                                                      "|objectness output; non-max suppression
"                                                                      
                                                                      
                                                                      
                                                                      
          the buffer until it is empty. You must specify the buffer size, and it is important to
          make it large enough, or else shuffling will not be very effective.1 Just don’t exceed the
          amount of RAM you have, and even if you have plenty of it, there’s no need to go
          beyond the dataset’s size. You can provide a random seed if you want the same ran‐
          dom order every time you run your program. For example, the following code creates
          and displays a dataset containing the integers 0 to 9, repeated 3 times, shuffled using a
          buffer of size 5 and a random seed of 42, and batched with a batch size of 7:
            >>> dataset = tf.data.Dataset.range(10).repeat(3) # 0 to 9, three times
            >>> dataset = dataset.shuffle(buffer_size=5, seed=42).batch(7)
            >>> for item in dataset:                                  
            ...  print(item)                                          
            ...                                                       
            tf.Tensor([0 2 3 6 7 9 4], shape=(7,), dtype=int64)       
            tf.Tensor([5 0 1 1 8 6 5], shape=(7,), dtype=int64)       
            tf.Tensor([4 8 7 1 2 3 0], shape=(7,), dtype=int64)       
            tf.Tensor([5 4 2 7 8 9 9], shape=(7,), dtype=int64)       
            tf.Tensor([3 6], shape=(2,), dtype=int64)                 
                   If you call repeat() on a shuffled dataset, by default it will generate
                   a new order at every iteration. This is generally a good idea, but if
                   you prefer to reuse the same order at each iteration (e.g., for tests
                   or debugging), you can set reshuffle_each_iteration=False.
                                                                      
          For a large dataset that does not fit in memory, this simple shuffling-buffer approach
          may not be sufficient, since the buffer will be small compared to the dataset. One sol‐
          ution is to shuffle the source data itself (for example, on Linux you can shuffle text
          files using the shuf command). This will definitely improve shuffling a lot! Even if
          the source data is shuffled, you will usually want to shuffle it some more, or else the
          same order will be repeated at each epoch, and the model may end up being biased
          (e.g., due to some spurious patterns present by chance in the source data’s order). To
          shuffle the instances some more, a common approach is to split the source data into
          multiple files, then read them in a random order during training. However, instances
          located in the same file will still end up close to each other. To avoid this you can pick
          multiple files randomly and read them simultaneously, interleaving their records.
          Then on top of that you can add a shuffling buffer using the shuffle() method. If all
                                                                      
                                                                      
                                                                      
                                                                      
          1 Imagine a sorted deck of cards on your left: suppose you just take the top three cards and shuffle them, then
           pick one randomly and put it to your right, keeping the other two in your hands. Take another card on your
           left, shuffle the three cards in your hands and pick one of them randomly, and put it on your right. When you
           are done going through all the cards like this, you will have a deck of cards on your right: do you think it will
           be perfectly shuffled?                                     "|shuffling-buffer approach
"                                                                      
                                                                      
                                                                      
                                                                      
          max_length                                                  
            The maximum size of the replay buffer. We created a large replay buffer that can
            store one million trajectories (as was done in the 2015 DQN paper). This will
            require a lot of RAM.                                     
                                                                      
                   When we store two consecutive trajectories, they contain two con‐
                   secutive observations with four frames each (since we used the Fra
                   meStack4 wrapper), and unfortunately three of the four frames in
                   the second observation are redundant (they are already present in
                   the first observation). In other words, we are using about four
                   times more RAM than necessary. To avoid this, you can instead use
                   a PyHashedReplayBuffer from the tf_agents.replay_buf
                   fers.py_hashed_replay_buffer package: it deduplicates data in
                   the stored trajectories along the last axis of the observations.
                                                                      
          Now we can create the observer that will write the trajectories to the replay buffer. An
          observer is just a function (or a callable object) that takes a trajectory argument, so we
          can directly use the add_method() method (bound to the replay_buffer object) as
          our observer:                                               
            replay_buffer_observer = replay_buffer.add_batch          
          If you wanted to create your own observer, you could write any function with a
          trajectory argument. If it must have a state, you can write a class with a
          __call__(self, trajectory) method. For example, here is a simple observer that
          will increment a counter every time it is called (except when the trajectory represents
          a boundary between two episodes, which does not count as a step), and every 100
          increments it displays the progress up to a given total (the carriage return \r along
          with end="""" ensures that the displayed counter remains on the same line):
                                                                      
            class ShowProgress:                                       
               def __init__(self, total):                             
                 self.counter = 0                                     
                 self.total = total                                   
               def __call__(self, trajectory):                        
                 if not trajectory.is_boundary():                     
                   self.counter += 1                                  
                 if self.counter % 100 == 0:                          
                   print(""\r{}/{}"".format(self.counter, self.total), end="""")
          Now let’s create a few training metrics.                    
          Creating Training Metrics                                   
          TF-Agents implements several RL metrics in the tf_agents.metrics package, some
          purely in Python and some based on TensorFlow. Let’s create a few of them in order
                                                                      "|training metrics
"                                                                      
                                                                      
                                                                      
                                                                      
          class, which can apply different transformers and concatenate their outputs. But you
          cannot specify different columns for each transformer; they all apply to the whole
          data. It is possible to work around this limitation using a custom transformer for col‐
          umn selection (see the Jupyter notebook for an example).    
                                                                      
          Select and Train a Model                                    
                                                                      
          At last! You framed the problem, you got the data and explored it, you sampled a
          training set and a test set, and you wrote transformation pipelines to clean up and
          prepare your data for Machine Learning algorithms automatically. You are now ready
          to select and train a Machine Learning model.               
                                                                      
          Training and Evaluating on the Training Set                 
          The good news is that thanks to all these previous steps, things are now going to be
          much simpler than you might think. Let’s first train a Linear Regression model, like
          we did in the previous chapter:                             
                                                                      
            from sklearn.linear_model import LinearRegression         
            lin_reg = LinearRegression()                              
            lin_reg.fit(housing_prepared, housing_labels)             
          Done! You now have a working Linear Regression model. Let’s try it out on a few
          instances from the training set:                            
                                                                      
            >>> some_data = housing.iloc[:5]                          
            >>> some_labels = housing_labels.iloc[:5]                 
            >>> some_data_prepared = full_pipeline.transform(some_data)
            >>> print(""Predictions:"", lin_reg.predict(some_data_prepared))
            Predictions: [ 210644.6045 317768.8069 210956.4333 59218.9888 189747.5584]
            >>> print(""Labels:"", list(some_labels))                   
            Labels: [286600.0, 340600.0, 196900.0, 46300.0, 254500.0] 
          It works, although the predictions are not exactly accurate (e.g., the first prediction is
          off by close to 40%!). Let’s measure this regression model’s RMSE on the whole train‐
          ing set using Scikit-Learn’s mean_squared_error() function: 
            >>> from sklearn.metrics import mean_squared_error        
            >>> housing_predictions = lin_reg.predict(housing_prepared)
            >>> lin_mse = mean_squared_error(housing_labels, housing_predictions)
            >>> lin_rmse = np.sqrt(lin_mse)                           
            >>> lin_rmse                                              
            68628.19819848922                                         
          This is better than nothing, but clearly not a great score: most districts’ median_hous
          ing_values range between $120,000 and $265,000, so a typical prediction error of
          $68,628 is not very satisfying. This is an example of a model underfitting the training
          data. When this happens it can mean that the features do not provide enough"|training; model selection and training; mean_squared_error function; example project; data preparation; model selection
"                                                                      
                                                                      
                                                                      
                                                                      
            avoid division by zero). This technique avoids explosions in the activations due
            to excessive competition between the generator and the discriminator.
                                                                      
          The combination of all these techniques allowed the authors to generate extremely
          convincing high-definition images of faces. But what exactly do we call “convincing”?
          Evaluation is one of the big challenges when working with GANs: although it is possi‐
          ble to automatically evaluate the diversity of the generated images, judging their qual‐
          ity is a much trickier and subjective task. One technique is to use human raters, but
          this is costly and time-consuming. So the authors proposed to measure the similarity
          between the local image structure of the generated images and the training images,
          considering every scale. This idea led them to another groundbreaking innovation:
          StyleGANs.                                                  
          StyleGANs                                                   
                                                                      
          The state of the art in high-resolution image generation was advanced once again by
          the same Nvidia team in a 2018 paper18 that introduced the popular StyleGAN archi‐
          tecture. The authors used style transfer techniques in the generator to ensure that the
          generated images have the same local structure as the training images, at every scale,
          greatly improving the quality of the generated images. The discriminator and the loss
          function were not modified, only the generator. Let’s take a look at the StyleGAN. It is
          composed of two networks (see Figure 17-20):                
          Mapping network                                             
            An eight-layer MLP that maps the latent representations z (i.e., the codings) to a
            vector w. This vector is then sent through multiple affine transformations (i.e.,
            Dense layers with no activation functions, represented by the “A” boxes in
            Figure 17-20), which produces multiple vectors. These vectors control the style of
            the generated image at different levels, from fine-grained texture (e.g., hair color)
            to high-level features (e.g., adult or child). In short, the mapping network maps
            the codings to multiple style vectors.                    
                                                                      
          Synthesis network                                           
            Responsible for generating the images. It has a constant learned input (to be
            clear, this input will be constant after training, but during training it keeps getting
            tweaked by backpropagation). It processes this input through multiple convolu‐
            tional and upsampling layers, as earlier, but there are two twists: first, some noise
            is added to the input and to all the outputs of the convolutional layers (before the
            activation function). Second, each noise layer is followed by an Adaptive Instance
            Normalization (AdaIN) layer: it standardizes each feature map independently (by
                                                                      
                                                                      
          18 Tero Karras et al., “A Style-Based Generator Architecture for Generative Adversarial Networks,” arXiv pre‐
           print arXiv:1812.04948 (2018).                             "|adaptive instance normalization (AdaIN); StyleGANs; style transfer; affine transformations
"                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                  CHAPTER 17          
                                                                      
             Representation    Learning   and  Generative             
                                                                      
               Learning  Using  Autoencoders     and  GANs            
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
          Autoencoders are artificial neural networks capable of learning dense representations
          of the input data, called latent representations or codings, without any supervision (i.e.,
          the training set is unlabeled). These codings typically have a much lower dimension‐
          ality than the input data, making autoencoders useful for dimensionality reduction
          (see Chapter 8), especially for visualization purposes. Autoencoders also act as feature
          detectors, and they can be used for unsupervised pretraining of deep neural networks
          (as we discussed in Chapter 11). Lastly, some autoencoders are generative models: they
          are capable of randomly generating new data that looks very similar to the training
          data. For example, you could train an autoencoder on pictures of faces, and it would
          then be able to generate new faces. However, the generated images are usually fuzzy
          and not entirely realistic.                                 
          In contrast, faces generated by generative adversarial networks (GANs) are now so
          convincing that it is hard to believe that the people they represent do not exist. You
          can judge so for yourself by visiting https://thispersondoesnotexist.com/, a website that
          shows faces generated by a recent GAN architecture called StyleGAN (you can also
          check out https://thisrentaldoesnotexist.com/ to see some generated Airbnb bed‐
          rooms). GANs are now widely used for super resolution (increasing the resolution of
          an image), colorization, powerful image editing (e.g., replacing photo bombers with
          realistic background), turning a simple sketch into a photorealistic image, predicting
          the next frames in a video, augmenting a dataset (to train other models), generating
          other types of data (such as text, audio, and time series), identifying the weaknesses in
          other models and strengthening them, and more.              
                                                                      
                                                                      
                                                                      "|StyleGANs; latent representations; autoencoders
"                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
          Figure 8-9. MNIST compression that preserves 95% of the variance
          The equation of the inverse transformation is shown in Equation 8-3.
                                                                      
            Equation 8-3. PCA inverse transformation, back to the original number of
            dimensions                                                
                                                                      
                         ⊺                                            
            X     =X   W                                              
             recovered d‐proj d                                       
          Randomized PCA                                              
          If you set the svd_solver hyperparameter to ""randomized"", Scikit-Learn uses a sto‐
          chastic algorithm called Randomized PCA that quickly finds an approximation of the
          first d principal components. Its computational complexity is O(m × d2) + O(d3),
          instead of O(m × n2) + O(n3) for the full SVD approach, so it is dramatically faster
          than full SVD when d is much smaller than n:                
            rnd_pca = PCA(n_components=154, svd_solver=""randomized"")  
            X_reduced = rnd_pca.fit_transform(X_train)                
          By default, svd_solver is actually set to ""auto"": Scikit-Learn automatically uses the
          randomized PCA algorithm if m or n is greater than 500 and d is less than 80% of m
          or n, or else it uses the full SVD approach. If you want to force Scikit-Learn to use full
          SVD, you can set the svd_solver hyperparameter to ""full"".   
                                                                      
          Incremental PCA                                             
                                                                      
          One problem with the preceding implementations of PCA is that they require the
          whole training set to fit in memory in order for the algorithm to run. Fortunately,
          Incremental PCA (IPCA) algorithms have been developed. They allow you to split the
          training set into mini-batches and feed an IPCA algorithm one mini-batch at a time.
                                                                      "|full SVD approach; randomized; Incremental PCA (IPCA); inverse transformation; incremental; Randomized PCA; Randomized PCA algorithm
"                                                                      
                                                                      
                                                                      
                                                                      
          that was either less than 49% female or more than 54% female. Either way, the survey
          results would be significantly biased.                      
                                                                      
          Suppose you chatted with experts who told you that the median income is a very
          important attribute to predict median housing prices. You may want to ensure that
          the test set is representative of the various categories of incomes in the whole dataset.
          Since the median income is a continuous numerical attribute, you first need to create
          an income category attribute. Let’s look at the median income histogram more closely
          (back in Figure 2-8): most median income values are clustered around 1.5 to 6 (i.e.,
          $15,000–$60,000), but some median incomes go far beyond 6. It is important to have
          a sufficient number of instances in your dataset for each stratum, or else the estimate
          of a stratum’s importance may be biased. This means that you should not have too
          many strata, and each stratum should be large enough. The following code uses the
          pd.cut() function to create an income category attribute with five categories (labeled
          from 1 to 5): category 1 ranges from 0 to 1.5 (i.e., less than $15,000), category 2 from
          1.5 to 3, and so on:                                        
            housing[""income_cat""] = pd.cut(housing[""median_income""],  
                              bins=[0., 1.5, 3.0, 4.5, 6., np.inf],   
                              labels=[1, 2, 3, 4, 5])                 
          These income categories are represented in Figure 2-9:      
            housing[""income_cat""].hist()                              
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
          Figure 2-9. Histogram of income categories                  
                                                                      
          Now you are ready to do stratified sampling based on the income category. For this
          you can use Scikit-Learn’s StratifiedShuffleSplit class:    
                                                                      
                                                                      
                                                                      "|stratified sampling
"                                                                      
                                                                      
                                                                      
                                                                      
          This is useful for large training sets and for applying PCA online (i.e., on the fly, as
          new instances arrive).                                      
                                                                      
          The following code splits the MNIST dataset into 100 mini-batches (using NumPy’s
          array_split() function) and feeds them to Scikit-Learn’s IncrementalPCA class5 to
          reduce the dimensionality of the MNIST dataset down to 154 dimensions (just like
          before). Note that you must call the partial_fit() method with each mini-batch,
          rather than the fit() method with the whole training set:   
            from sklearn.decomposition import IncrementalPCA          
                                                                      
            n_batches = 100                                           
            inc_pca = IncrementalPCA(n_components=154)                
            for X_batch in np.array_split(X_train, n_batches):        
               inc_pca.partial_fit(X_batch)                           
            X_reduced = inc_pca.transform(X_train)                    
          Alternatively, you can use NumPy’s memmap class, which allows you to manipulate a
          large array stored in a binary file on disk as if it were entirely in memory; the class
          loads only the data it needs in memory, when it needs it. Since the IncrementalPCA
          class uses only a small part of the array at any given time, the memory usage remains
          under control. This makes it possible to call the usual fit() method, as you can see
          in the following code:                                      
            X_mm = np.memmap(filename, dtype=""float32"", mode=""readonly"", shape=(m, n))
                                                                      
            batch_size = m // n_batches                               
            inc_pca = IncrementalPCA(n_components=154, batch_size=batch_size)
            inc_pca.fit(X_mm)                                         
          Kernel PCA                                                  
                                                                      
          In Chapter 5 we discussed the kernel trick, a mathematical technique that implicitly
          maps instances into a very high-dimensional space (called the feature space), enabling
          nonlinear classification and regression with Support Vector Machines. Recall that a
          linear decision boundary in the high-dimensional feature space corresponds to a
          complex nonlinear decision boundary in the original space.  
          It turns out that the same trick can be applied to PCA, making it possible to perform
          complex nonlinear projections for dimensionality reduction. This is called Kernel
                                                                      
                                                                      
                                                                      
                                                                      
                                                                      
          5 Scikit-Learn uses the algorithm described in David A. Ross et al., “Incremental Learning for Robust Visual
           Tracking,” International Journal of Computer Vision 77, no. 1–3 (2008): 125–141."|array_split() function; Kernel PCA (kPCA); IncrementalPCA class; kernels; feature space; memmap class; original space
"                                                                      
                                                                      
                                                                      
                                                                      
           • Start the first few epochs using just one replica (this is called the warmup phase).
            Stale gradients tend to be more damaging at the beginning of training, when gra‐
            dients are typically large and the parameters have not settled into a valley of the
            cost function yet, so different replicas may push the parameters in quite different
            directions.                                               
                                                                      
          A paper published by the Google Brain team in 201620 benchmarked various
          approaches and found that using synchronous updates with a few spare replicas was
          more efficient than using asynchronous updates, not only converging faster but also
          producing a better model. However, this is still an active area of research, so you
          should not rule out asynchronous updates just yet.          
                                                                      
          Bandwidth saturation                                        
          Whether you use synchronous or asynchronous updates, data parallelism with cen‐
          tralized parameters still requires communicating the model parameters from the
          parameter servers to every replica at the beginning of each training step, and the gra‐
          dients in the other direction at the end of each training step. Similarly, when using the
          mirrored strategy, the gradients produced by each GPU will need to be shared with
          every other GPU. Unfortunately, there always comes a point where adding an extra
          GPU will not improve performance at all because the time spent moving the data into
          and out of GPU RAM (and across the network in a distributed setup) will outweigh
          the speedup obtained by splitting the computation load. At that point, adding more
          GPUs will just worsen the bandwidth saturation and actually slow down training.
                                                                      
                   For some models, typically relatively small and trained on a very
                   large training set, you are often better off training the model on a
                   single machine with a single powerful GPU with a large memory
                   bandwidth.                                         
                                                                      
          Saturation is more severe for large dense models, since they have a lot of parameters
          and gradients to transfer. It is less severe for small models (but the parallelization gain
          is limited) and for large sparse models, where the gradients are typically mostly zeros
          and so can be communicated efficiently. Jeff Dean, initiator and lead of the Google
          Brain project, reported typical speedups of 25–40× when distributing computations
          across 50 GPUs for dense models, and a 300× speedup for sparser models trained
          across 500 GPUs. As you can see, sparse models really do scale better. Here are a few
          concrete examples:                                          
                                                                      
                                                                      
                                                                      
                                                                      
          20 Jianmin Chen et al., “Revisiting Distributed Synchronous SGD,” arXiv preprint arXiv:1604.00981 (2016)."|bandwidth saturation; warmup phase
