text|keyphrases
"values to be between [–1, 1]) and pushes the problematic values further out. Of these
three methods, zero-norming works best for mother_age because the raw age values
were somewhat of a bell curve. For other problems, min-max scaling, clipping, or
winsorizing might be better.
<i>Figure</i> <i>2-3.</i> <i>The</i> <i>histogram</i> <i>of</i> <i>mother_age</i> <i>in</i> <i>the</i> <i>baby</i> <i>weight</i> <i>prediction</i> <i>example</i> <i>is</i>
<i>shown</i> <i>in</i> <i>the</i> <i>top-left</i> <i>panel,</i> <i>and</i> <i>different</i> <i>scaling</i> <i>functions</i> <i>(see</i> <i>the</i> <i>x-axis</i> <i>label)</i> <i>are</i>
<i>shown</i> <i>in</i> <i>the</i> <i>remaining</i> <i>panels.</i>"|min-max scaling; winsorizing; z-score normalization
"The What-If Tool is model agnostic and can be used for any type
of model regardless of architecture or framework. It works with
models loaded within a notebook or in TensorBoard, models
served via TensorFlow Serving, and models deployed to Cloud AI
Platform Prediction. The What-If Tool team also created a tool for
text-based models called the Language Interpretability Tool (LIT).
Another important consideration for post-training evaluation is testing our model on
a balanced set of examples. If there are particular slices of our data that we anticipate
will be problematic for our model—like inputs that could be affected by data collec‐
tion or representation bias—we should ensure our test set includes enough of these
cases. After splitting our data, we’ll use the same type of analysis we employed in the
“Before training” part of this section on <i>each</i> split of our data: training, validation,
and test.
As seen from this analysis, there is no one-size-fits-all solution or evaluation metric
for model fairness. It is a continuous, iterative process that should be employed
throughout an ML workflow—from data collection to deployed model.
<header><largefont><b>Trade-Offs</b></largefont> <largefont><b>and</b></largefont> <largefont><b>Alternatives</b></largefont></header>
There are many ways to approach model fairness in addition to the pre- and post-
training techniques discussed in the Solution section. Here, we’ll introduce a few
alternative tools and processes for achieving fair models. ML fairness is a rapidly
evolving area of research—the tools included in this section aren’t meant to provide
an exhaustive list, but rather a few techniques and tools currently available for
improving model fairness. We’ll also discuss the differences between the Fairness
Lens and Explainable Predictions design patterns, as they are related and often used
together.
<b>FairnessIndicators</b>
Fairness Indicators (FI) are a suite of open source tools designed to help in under‐
standing a dataset’s distribution before training, and evaluating model performance
using fairness metrics. The tools included in FI are TensorFlow Data Validation
(TFDV) and TensorFlow Model Analysis (TFMA). Fairness Indicators are most often
used as components in TFX pipelines (see “Design Pattern 25: Workflow Pipeline”
on page 282 in Chapter 6 for more details) or via TensorBoard. With TFX, there are
two pre-built components that utilize Fairness Indicator tools:
• ExampleValidator for data analysis, detecting drift, and training–serving skew
with TFDV.
• Evaluator uses the TFMA library to evaluate a model across subsets of a dataset.
An example of an interactive visualization generated from TFMA is shown in"|AI Platform Prediction; bias; Fairness Indicators; Fairness Lens design pattern; Language Interpretability Tool; TensorBoard; TensorFlow Data Validation; TensorFlow Serving; TFMA; TFX; What-If Tool
"environment outside this context. As an example, let’s say we train a model to iden‐
tify fraudulent credit card transactions and it finds, as a global-level feature attribu‐
tion, that a transaction’s amount is the feature most indicative of fraud. Following
this, it would be incorrect to conclude that amount is <i>always</i> the biggest indicator of
credit card fraud—this is only the case within the context of our training dataset,
model, and specified baseline value.
We can think of explanations as an important addition to accuracy, error, and other
metrics used to evaluate ML models. They provide useful insight into a model’s qual‐
ity and potential bias, but should not be the sole determinant of a high-quality model.
We recommend using explanations as one piece of model evaluation criteria in addi‐
tion to data and model evaluation, and many of the other patterns outlined in this
and previous chapters.
<header><largefont><b>Design</b></largefont> <largefont><b>Pattern</b></largefont> <largefont><b>30:</b></largefont> <largefont><b>Fairness</b></largefont> <largefont><b>Lens</b></largefont></header>
The Fairness Lens design pattern suggests the use of preprocessing and postprocess‐
ing techniques to ensure that model predictions are fair and equitable for different
groups of users and scenarios. Fairness in machine learning is a continuously evolv‐
ing area of research, and there is no single catch-all solution or definition to making a
model “fair.” Evaluating an entire end-to-end ML workflow—from data collection to
model deployment—through a fairness lens is essential to building successful, high-
quality models.
<header><largefont><b>Problem</b></largefont></header>
With the word “machine” in its name, it’s easy to assume that ML models can’t be
biased. After all, models are the result of patterns learned by a computer, right? The
problem with this thinking is that the datasets models learn from are created by
<i>humans,</i> not machines, and humans are full of bias. This inherent human bias is
inevitable, but is not necessarily always bad. Take for example a dataset used to train
a financial fraud detection model—this data will likely be heavily imbalanced with
very few fraudulent examples, since fraud is relatively rare in most cases. This is an
example of naturally occurring bias, as it is a reflection of the statistical properties of
the original dataset. Bias becomes <i>harmful</i> when it affects different groups of people
differently. This is known as <i>problematic</i> <i>bias,</i> and it’s what we’ll be focusing on
throughout this section. If this type of bias is not accounted for, it can find its way
into models, creating adverse effects as production models directly reflect the bias
present in the data.
Problematic bias is present even in situations where you may not expect it. As an
example, imagine we’re building a model to identify different types of clothing and
accessories. We’ve been tasked with collecting all of the shoe images for the training
dataset. When we think about shoes, we take note of the first thing that comes to"|bias; Explainable Predictions design pattern; Fairness Lens design pattern; model evaluation; problematic bias
"<i>Figure</i> <i>6-1.</i> <i>The</i> <i>model</i> <i>has</i> <i>three</i> <i>features</i> <i>computed</i> <i>from</i> <i>two</i> <i>inputs.</i>
But the SQL code above mixes up the inputs and features and doesn’t keep track of
the transformations that were carried out. This comes back to bite when we try to
predict with this model. Because the model was trained on three features, this is what
the prediction signature has to look like:
<b>SELECT</b> * <b>FROM</b> ML.PREDICT(MODEL ch09eu.bicycle_model,(
'Kings Cross' <b>AS</b> start_station_name
, '3' <b>as</b> dayofweek
, '18' <b>as</b> hourofday
))
Note that, at inference time, we have to know what features the model was trained
on, how they should be interpreted, and the details of the transformations that were
'3' '3'
applied. We have to know that we need to send in for dayofweek. That …is
that Tuesday or Wednesday? Depends on which library was used by the model, or
what we consider the start of a week!
<i>Training-serving</i> <i>skew,</i> caused by differences in any of these factors between the train‐
ing and serving environments, is one of the key reasons why productionization of ML
models is so hard.
<header><largefont><b>Solution</b></largefont></header>
The solution is to explicitly capture the transformations applied to convert the model
inputs into features. In BigQuery ML, this is done using the TRANSFORM clause. Using
TRANSFORM
ensures that these transformations are automatically applied during
ML.PREDICT
.
Given the support for TRANSFORM, the model above should be rewritten as:
<b>CREATE</b> <b>OR</b> <b>REPLACE</b> MODEL ch09eu.bicycle_model
<b>OPTIONS(input_label_cols=['duration'],</b>
model_type='linear_reg')
<b>TRANSFORM(</b>
<b>SELECT</b> * <b>EXCEPT(start_date)</b>
, <b>CAST(EXTRACT(dayofweek</b> <b>from</b> start_date) <b>AS</b> STRING)
<b>as</b> dayofweek <i>--</i> <i>feature1</i>
, <b>CAST(EXTRACT(hour</b> <b>from</b> start_date) <b>AS</b> STRING)"|BigQuery ML; training-serving skew; Transform design pattern
"Progress during this ingestion step is printed to the screen showing that we’ve inges‐
ted 28,247 rows into the taxi_rides feature set within Feast:
100%|██████████|28247/28247 [00:02<00:00, 2771.19rows/s]
Ingestion complete!
Ingestion statistics:
Success: 28247/28247 rows ingested
At this stage, calling client.list_feature_sets() will now list the feature set
taxi_rides [default/taxi_rides] default
we just created and return . Here, refers
to the project scope of the feature set within Feast. This can be changed when instan‐
tiating the feature set to keep certain feature sets within project access.
Datasets may change over time, causing feature sets to change as
well. In Feast, once a feature set is created, there are only a few
changes that can be made. For example, the following changes are
allowed:
• Adding new features.
• Removing existing features. (Note that features are tombs‐
toned and remain on record, so they are not removed com‐
pletely. This will affect new features being able to take the
names of previously deleted features.)
• Changing features’ schemas.
max_age
• Changing the feature set’s source or the of the feature
set examples.
The following changes are <i>not</i> allowed:
• Changes to the feature set name.
• Changes to entities.
• Changes to names of existing features.
<b>RetrievingdatafromFeast</b>
Once a feature set has been sourced with features, we can retrieve historical or online
features. Users and production systems retrieve feature data through a Feast serving
data access layer. Since Feast supports both offline and online store types, it’s com‐
mon to have Feast deployments for both, as shown in Figure 6-15. The same feature
data is contained within the two feature stores, ensuring consistency between training
and serving."|Feast; Feature Store design pattern
"<b>SELECT</b>
<b>DISTINCT(departure_airport)</b>
<b>FROM</b> `bigquery-samples.airline_ontime_data.flights`
Some airports had as few as one to three flights over the entire time period, and so we
expect that the training data vocabulary will be incomplete. 347 is large enough that
the feature will be quite sparse, and it is certainly the case that new airports will get
built. All three problems (incomplete vocabulary, high cardinality, cold start) will
exist if we one-hot encode the departure airport.
The airline dataset, like the natality dataset and nearly all the other datasets that we
use in this book for illustration, is a public dataset in BigQuery, so you can try the
query out. At the time we are writing this, 1 TB/month of querying is free, and there
is a sandbox available so that you can use BigQuery up to this limit without putting
down a credit card. We encourage you to bookmark our GitHub repository. For
example, see the notebook in GitHub for the full code.
<header><largefont><b>Solution</b></largefont></header>
The Hashed Feature design pattern represents a categorical input variable by doing
the following:
1. Converting the categorical input into a unique string. For the departure airport,
we can use the three-letter IATA code for the airport.
2. Invoking a deterministic (no random seeds or salt) and portable (so that the
same algorithm can be used in both training and serving) hashing algorithm on
the string.
3. Taking the remainder when the hash result is divided by the desired number of
buckets. Typically, the hashing algorithm returns an integer that can be negative
and the modulo of a negative integer is negative. So, the absolute value of the
result is taken.
In BigQuery SQL, these steps are achieved like this:
<b>ABS(MOD(FARM_FINGERPRINT(airport),</b> numbuckets))
The FARM_FINGERPRINT function uses FarmHash, a family of hashing algorithms that
is deterministic, well-distributed, and for which implementations are available in a
number of programming languages.
In TensorFlow, these steps are implemented by the feature_column function:
tf.feature_column.categorical_column_with_hash_bucket(
airport, num_buckets, dtype=tf.dtypes.string)
For example, Table 2-1 shows the FarmHash of some IATA airport codes when
hashed into 3, 10, and 1,000 buckets."|BigQuery; FarmHash; feature columns; Hashed Feature design pattern; TensorFlow; vocabulary
"second, or there could be a monthly file that is generated from an external system
reporting a summary of the last month’s transactions. Each of these need to be pro‐
cessed and ingested into the feature store. By the same token, there may be different
time horizons for retrieving data from the feature store. For example, a user-facing
online application may operate at very low latency using up-to-the-second features,
whereas when training the model, features are pulled offline as a larger batch but with
higher latency.
<i>Figure</i> <i>6-18.</i> <i>The</i> <i>Feature</i> <i>Store</i> <i>design</i> <i>pattern</i> <i>can</i> <i>handle</i> <i>both</i> <i>the</i> <i>requirements</i> <i>of</i> <i>data</i>
<i>being</i> <i>highly</i> <i>scalable</i> <i>for</i> <i>large</i> <i>batches</i> <i>during</i> <i>training</i> <i>and</i> <i>extremely</i> <i>low</i> <i>latency</i> <i>for</i>
<i>serving</i> <i>online</i> <i>applications.</i>
There is no single database that can handle both scaling to potentially terabytes of
data <i>and</i> extremely low latency on the order of milliseconds. The feature store ach‐
ieves this with separate online and offline feature stores and ensures that features are
handled in a consistent fashion in both scenarios.
Lastly, a feature store acts as a version-controlled repository for feature datasets,
allowing the same CI/CD practices of code and model development to be applied to
the feature engineering process. This means that new ML projects start with a process
of feature selection from a catalog instead of having to do feature engineering from
scratch, allowing organizations to achieve an economies-of-scale effect—as new fea‐
tures are created and added to the feature store, it becomes easier and faster to build
new models that reuse those features.
<header><largefont><b>Trade-Offs</b></largefont> <largefont><b>and</b></largefont> <largefont><b>Alternatives</b></largefont></header>
The Feast framework that we discussed is built on Google BigQuery, Redis, and
Apache Beam. However, there are feature stores that rely on other tools and tech
stacks. And, although a feature store is the recommended way to manage features at
tf.transform
scale, provides an alternative solution that addresses the issue of"|CI/CD; Feast; Feature Store design pattern
"<i>Figure</i> <i>3-17.</i> <i>A</i> <i>pipeline</i> <i>to</i> <i>train</i> <i>the</i> <i>cascade</i> <i>of</i> <i>models</i> <i>as</i> <i>a</i> <i>single</i> <i>job.</i>
Kubeflow Pipelines provides such a framework. Because it works with containers, the
underlying machine learning models and glue code can be written in nearly any pro‐
gramming or scripting language. Here, we will wrap the BigQuery SQL models above
into Python functions using the BigQuery client library. We could use TensorFlow or
scikit-learn or even R to implement individual components.
The pipeline code using Kubeflow Pipelines can be expressed quite simply as the fol‐
lowing (the full code can be found in the code repository of this book):
@dsl.pipeline(
name='Cascade pipeline on SF bikeshare',
description='Cascade pipeline on SF bikeshare'
)
<b>def</b> cascade_pipeline(
project_id = PROJECT_ID
):
ddlop = comp.func_to_container_op(run_bigquery_ddl,
packages_to_install=['google-cloud-bigquery'])
c1 = train_classification_model(ddlop, PROJECT_ID)
c1_model_name = c1.outputs['created_table']
c2a_input = create_training_data(ddlop,
PROJECT_ID, c1_model_name, 'Typical')
c2b_input = create_training_data(ddlop,
PROJECT_ID, c1_model_name, 'Long')"|Cascade design pattern; Kubeflow Pipelines
"<i>Figure</i> <i>5-12.</i> <i>A</i> <i>comparison</i> <i>of</i> <i>on-device</i> <i>phrase-based</i> <i>and</i> <i>(newer)</i> <i>neural-machine</i>
<i>translation</i> <i>models</i> <i>and</i> <i>online</i> <i>neural</i> <i>machine</i> <i>translation</i> <i>(source:</i> <i>The</i> <i>Keyword).</i>
Another example of a standalone single-phase model is Google Bolo, a speech-based
language learning app for children. The app works entirely offline and was developed
with the intention of helping populations where reliable internet access is not always
available.
<b>Offlinesupportforspecificusecases</b>
Another solution for making your application work for users with minimal internet
connectivity is to make only certain parts of your app available offline. This could
involve enabling a few common features offline or caching the results of an ML
model’s prediction for later use offline. With this alternative, we’re still employing
two prediction phases, but we’re limiting the use cases covered by our offline model.
In this approach, the app works sufficiently offline, but provides full functionality
when it regains connectivity.
Google Maps, for example, lets you download maps and directions in advance. To
avoid having directions take up too much space on a mobile device, only driving
directions might be made available offline (not walking or biking). Another example
could be a fitness application that tracks your steps and makes recommendations for
future activity. Let’s say the most common use of this app is checking how many
steps you have walked on the current day. To support this use case offline, we could
sync the fitness tracker’s data to a user’s device over Bluetooth to enable checking the
current day’s fitness status offline. To optimize our app’s performance, we might
decide to make fitness history and recommendations only available online.
We could further build upon this by storing the user’s queries while their device is
offline and sending them to a cloud model when they regain connectivity to provide
more detailed results. Additionally, we could even provide a basic recommendation
model available offline, with the intention of complementing this with improved"|Google Bolo; Two-Phase Predictions design pattern
"The first case (binary classification) is unique in that it is the only type of single-label
classification problem where we would consider using sigmoid as our activation
function. For nearly any other multiclass classification problem (for example, classi‐
fying text into one of five possible categories), we would use softmax. However, when
we only have two classes, softmax is redundant. Take for example a model that pre‐
dicts whether or not a specific transaction is fraudulent. Had we used a softmax out‐
put in this example, here’s what a fraudulent model prediction might look like:
[.02, .98]
In this example, the first index corresponds with “not fraudulent” and the second
index corresponds with “fraudulent.” This is redundant because we could also repre‐
sent this with a single scalar value, and thus use a sigmoid output. The same predic‐
tion could be represented as simply .98. Because each input can only be assigned a
.98
single class, we can infer from this output of that the model has predicted a 98%
chance of fraud and a 2% chance of nonfraud.
Therefore, for binary classification models, it is optimal to use an output shape of 1
with a sigmoid activation function. Models with a single output node are also more
efficient, since they will have fewer trainable parameters and will likely train faster.
Here is what the output layer of a binary classification model would look like:
keras.layers.Dense(1, activation='sigmoid')
For the second case where a training example could belong to <i>both</i> <i>possible</i> <i>classes</i>
and fits into the Multilabel design pattern, we’ll also want to use sigmoid, this time
with a two-element output:
keras.layers.Dense(2, activation='sigmoid')
<b>Whichlossfunctionshouldweuse?</b>
Now that we know when to use sigmoid as an activation function in our model, how
should we choose which loss function to use with it? For the binary classification case
where our model has a one-element output, use binary cross-entropy loss. In Keras,
we provide a loss function when we compile our model:
model.compile(loss='binary_crossentropy', optimizer='adam',
metrics=['accuracy'])
Interestingly, we also use binary cross-entropy loss for multilabel models with sig‐
moid output. This is because, as shown in Figure 3-9, a multilabel problem with three
classes is essentially three smaller binary classification problems."|binary classification; Keras; multilabel classification; Multilabel design pattern; sigmoid; sigmoid activation; softmax
